"Indikatorens navn";"Fylke nummer";"Fylke navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCACC_001";"03";"Oslo";"2018";194.56;194.56;"Yellow";"Yellow"
"ENCACC_001";"03";"Oslo";"2019";99.51;294.07;"Yellow";"Yellow"
"ENCACC_001";"03";"Oslo";"2020";134.82;428.89;"Yellow";"Yellow"
"ENCACC_001";"03";"Oslo";"2021";205.27;634.16;"Yellow";"Yellow"
"ENCACC_001";"03";"Oslo";"2022";177.01;811.17;"Yellow";"Yellow"
"ENCACC_001";"03";"Oslo";"2023";215.04;1026.21;"Green";"Yellow"
"ENCACC_001";"03";"Oslo";"2024";77.14;1103.35;"Yellow";"Yellow"
"ENCACC_001";"03";"Oslo";"Endring 2018-2024";NA;908.79;"NA";"Yellow"
"ENCACC_001";"11";"Rogaland";"2018";2510.77;2510.77;"Yellow";"Yellow"
"ENCACC_001";"11";"Rogaland";"2019";2859.43;5370.2;"Yellow";"Yellow"
"ENCACC_001";"11";"Rogaland";"2020";5400.22;10770.42;"Yellow";"Yellow"
"ENCACC_001";"11";"Rogaland";"2021";4322.05;15092.47;"Yellow";"Yellow"
"ENCACC_001";"11";"Rogaland";"2022";3599.04;18691.51;"Yellow";"Yellow"
"ENCACC_001";"11";"Rogaland";"2023";3648.28;22339.79;"Green";"Yellow"
"ENCACC_001";"11";"Rogaland";"2024";2301.15;24640.94;"Yellow";"Yellow"
"ENCACC_001";"11";"Rogaland";"Endring 2018-2024";NA;22130.17;"NA";"Yellow"
"ENCACC_001";"15";"Møre og Romsdal";"2018";1734.05;1734.05;"Yellow";"Yellow"
"ENCACC_001";"15";"Møre og Romsdal";"2019";2375.28;4109.33;"Yellow";"Yellow"
"ENCACC_001";"15";"Møre og Romsdal";"2020";3866.05;7975.38;"Yellow";"Yellow"
"ENCACC_001";"15";"Møre og Romsdal";"2021";4154.36;12129.74;"Yellow";"Yellow"
"ENCACC_001";"15";"Møre og Romsdal";"2022";4021.39;16151.13;"Yellow";"Yellow"
"ENCACC_001";"15";"Møre og Romsdal";"2023";3744.8;19895.93;"Green";"Yellow"
"ENCACC_001";"15";"Møre og Romsdal";"2024";3436.57;23332.5;"Yellow";"Yellow"
"ENCACC_001";"15";"Møre og Romsdal";"Endring 2018-2024";NA;21598.45;"NA";"Yellow"
"ENCACC_001";"18";"Nordland - Nordlánnda";"2018";927.34;927.34;"Yellow";"Yellow"
"ENCACC_001";"18";"Nordland - Nordlánnda";"2019";2194.15;3121.49;"Yellow";"Yellow"
"ENCACC_001";"18";"Nordland - Nordlánnda";"2020";3307.88;6429.37;"Yellow";"Yellow"
"ENCACC_001";"18";"Nordland - Nordlánnda";"2021";3416.2;9845.57;"Yellow";"Yellow"
"ENCACC_001";"18";"Nordland - Nordlánnda";"2022";2422.61;12268.18;"Yellow";"Yellow"
"ENCACC_001";"18";"Nordland - Nordlánnda";"2023";2775.56;15043.74;"Green";"Yellow"
"ENCACC_001";"18";"Nordland - Nordlánnda";"2024";2611.39;17655.13;"Yellow";"Yellow"
"ENCACC_001";"18";"Nordland - Nordlánnda";"Endring 2018-2024";NA;16727.79;"NA";"Yellow"
"ENCACC_001";"31";"Østfold";"2018";1562.9;1562.9;"Yellow";"Yellow"
"ENCACC_001";"31";"Østfold";"2019";1803.52;3366.42;"Yellow";"Yellow"
"ENCACC_001";"31";"Østfold";"2020";3241.66;6608.08;"Yellow";"Yellow"
"ENCACC_001";"31";"Østfold";"2021";2788.61;9396.69;"Yellow";"Yellow"
"ENCACC_001";"31";"Østfold";"2022";2550.4;11947.09;"Yellow";"Yellow"
"ENCACC_001";"31";"Østfold";"2023";1922.58;13869.67;"Green";"Yellow"
"ENCACC_001";"31";"Østfold";"2024";587.41;14457.08;"Yellow";"Yellow"
"ENCACC_001";"31";"Østfold";"Endring 2018-2024";NA;12894.18;"NA";"Yellow"
"ENCACC_001";"32";"Akershus";"2018";3739.7;3739.7;"Yellow";"Yellow"
"ENCACC_001";"32";"Akershus";"2019";4186.52;7926.22;"Yellow";"Yellow"
"ENCACC_001";"32";"Akershus";"2020";6258.95;14185.17;"Yellow";"Yellow"
"ENCACC_001";"32";"Akershus";"2021";6584.84;20770.01;"Yellow";"Yellow"
"ENCACC_001";"32";"Akershus";"2022";4191.42;24961.43;"Yellow";"Yellow"
"ENCACC_001";"32";"Akershus";"2023";3109.64;28071.07;"Green";"Yellow"
"ENCACC_001";"32";"Akershus";"2024";1295.49;29366.56;"Yellow";"Yellow"
"ENCACC_001";"32";"Akershus";"Endring 2018-2024";NA;25626.86;"NA";"Yellow"
"ENCACC_001";"33";"Buskerud";"2018";2696.93;2696.93;"Yellow";"Yellow"
"ENCACC_001";"33";"Buskerud";"2019";3311.68;6008.61;"Yellow";"Yellow"
"ENCACC_001";"33";"Buskerud";"2020";5612.12;11620.73;"Yellow";"Yellow"
"ENCACC_001";"33";"Buskerud";"2021";7971.98;19592.71;"Yellow";"Yellow"
"ENCACC_001";"33";"Buskerud";"2022";5842.49;25435.2;"Yellow";"Yellow"
"ENCACC_001";"33";"Buskerud";"2023";4676.59;30111.79;"Green";"Yellow"
"ENCACC_001";"33";"Buskerud";"2024";2865.99;32977.78;"Yellow";"Yellow"
"ENCACC_001";"33";"Buskerud";"Endring 2018-2024";NA;30280.85;"NA";"Yellow"
