"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCACC_001";"03";"0301";"Oslo";"2018";194.56;194.56;"Yellow";"Yellow"
"ENCACC_001";"03";"0301";"Oslo";"2019";99.51;294.07;"Yellow";"Yellow"
"ENCACC_001";"03";"0301";"Oslo";"2020";134.82;428.89;"Yellow";"Yellow"
"ENCACC_001";"03";"0301";"Oslo";"2021";205.27;634.16;"Yellow";"Yellow"
"ENCACC_001";"03";"0301";"Oslo";"2022";177.01;811.17;"Yellow";"Yellow"
"ENCACC_001";"03";"0301";"Oslo";"2023";215.04;1026.21;"Green";"Yellow"
"ENCACC_001";"03";"0301";"Oslo";"2024";77.14;1103.35;"Yellow";"Yellow"
"ENCACC_001";"03";"0301";"Oslo";"Endring 2018-2024";NA;908.79;"NA";"Yellow"
"ENCACC_001";"11";"1101";"Eigersund";"2018";103.55;103.55;"Yellow";"Yellow"
"ENCACC_001";"11";"1101";"Eigersund";"2019";103.74;207.29;"Yellow";"Yellow"
"ENCACC_001";"11";"1101";"Eigersund";"2020";262.49;469.78;"Yellow";"Yellow"
"ENCACC_001";"11";"1101";"Eigersund";"2021";188.95;658.73;"Yellow";"Yellow"
"ENCACC_001";"11";"1101";"Eigersund";"2022";149.61;808.34;"Yellow";"Yellow"
"ENCACC_001";"11";"1101";"Eigersund";"2023";123.97;932.31;"Green";"Yellow"
"ENCACC_001";"11";"1101";"Eigersund";"2024";86.83;1019.14;"Yellow";"Yellow"
"ENCACC_001";"11";"1101";"Eigersund";"Endring 2018-2024";NA;915.59;"NA";"Yellow"
"ENCACC_001";"11";"1103";"Stavanger";"2018";88.61;88.61;"Yellow";"Yellow"
"ENCACC_001";"11";"1103";"Stavanger";"2019";246.12;334.73;"Yellow";"Yellow"
"ENCACC_001";"11";"1103";"Stavanger";"2020";253.6;588.33;"Yellow";"Yellow"
"ENCACC_001";"11";"1103";"Stavanger";"2021";283.45;871.78;"Yellow";"Yellow"
"ENCACC_001";"11";"1103";"Stavanger";"2022";233.48;1105.26;"Yellow";"Yellow"
"ENCACC_001";"11";"1103";"Stavanger";"2023";281.2;1386.46;"Green";"Yellow"
"ENCACC_001";"11";"1103";"Stavanger";"2024";101.36;1487.82;"Yellow";"Yellow"
"ENCACC_001";"11";"1103";"Stavanger";"Endring 2018-2024";NA;1399.21;"NA";"Yellow"
"ENCACC_001";"11";"1106";"Haugesund";"2018";43.27;43.27;"Yellow";"Yellow"
"ENCACC_001";"11";"1106";"Haugesund";"2019";25.22;68.49;"Yellow";"Yellow"
"ENCACC_001";"11";"1106";"Haugesund";"2020";69.54;138.03;"Yellow";"Yellow"
"ENCACC_001";"11";"1106";"Haugesund";"2021";45.92;183.95;"Yellow";"Yellow"
"ENCACC_001";"11";"1106";"Haugesund";"2022";31.06;215.01;"Yellow";"Yellow"
"ENCACC_001";"11";"1106";"Haugesund";"2023";31.74;246.75;"Green";"Yellow"
"ENCACC_001";"11";"1106";"Haugesund";"2024";10.97;257.72;"Yellow";"Yellow"
"ENCACC_001";"11";"1106";"Haugesund";"Endring 2018-2024";NA;214.45;"NA";"Yellow"
"ENCACC_001";"11";"1108";"Sandnes";"2018";222.3;222.3;"Yellow";"Yellow"
"ENCACC_001";"11";"1108";"Sandnes";"2019";216.08;438.38;"Yellow";"Yellow"
"ENCACC_001";"11";"1108";"Sandnes";"2020";715.2;1153.58;"Yellow";"Yellow"
"ENCACC_001";"11";"1108";"Sandnes";"2021";449.48;1603.06;"Yellow";"Yellow"
"ENCACC_001";"11";"1108";"Sandnes";"2022";411.63;2014.69;"Yellow";"Yellow"
"ENCACC_001";"11";"1108";"Sandnes";"2023";422.76;2437.45;"Green";"Yellow"
"ENCACC_001";"11";"1108";"Sandnes";"2024";328.1;2765.55;"Yellow";"Yellow"
"ENCACC_001";"11";"1108";"Sandnes";"Endring 2018-2024";NA;2543.25;"NA";"Yellow"
"ENCACC_001";"11";"1111";"Sokndal";"2018";282.03;282.03;"Yellow";"Yellow"
"ENCACC_001";"11";"1111";"Sokndal";"2019";329.52;611.55;"Yellow";"Yellow"
"ENCACC_001";"11";"1111";"Sokndal";"2020";919.41;1530.96;"Yellow";"Yellow"
"ENCACC_001";"11";"1111";"Sokndal";"2021";419.86;1950.82;"Yellow";"Yellow"
"ENCACC_001";"11";"1111";"Sokndal";"2022";206.26;2157.08;"Yellow";"Yellow"
"ENCACC_001";"11";"1111";"Sokndal";"2023";138.85;2295.93;"Green";"Yellow"
"ENCACC_001";"11";"1111";"Sokndal";"2024";57.84;2353.77;"Yellow";"Yellow"
"ENCACC_001";"11";"1111";"Sokndal";"Endring 2018-2024";NA;2071.74;"NA";"Yellow"
"ENCACC_001";"11";"1112";"Lund";"2018";15.04;15.04;"Yellow";"Yellow"
"ENCACC_001";"11";"1112";"Lund";"2019";51.02;66.06;"Yellow";"Yellow"
"ENCACC_001";"11";"1112";"Lund";"2020";64.97;131.03;"Yellow";"Yellow"
"ENCACC_001";"11";"1112";"Lund";"2021";121.64;252.67;"Yellow";"Yellow"
"ENCACC_001";"11";"1112";"Lund";"2022";48.3;300.97;"Yellow";"Yellow"
"ENCACC_001";"11";"1112";"Lund";"2023";43.51;344.48;"Green";"Yellow"
"ENCACC_001";"11";"1112";"Lund";"2024";18.38;362.86;"Yellow";"Yellow"
"ENCACC_001";"11";"1112";"Lund";"Endring 2018-2024";NA;347.82;"NA";"Yellow"
"ENCACC_001";"11";"1114";"Bjerkreim";"2018";89.18;89.18;"Yellow";"Yellow"
"ENCACC_001";"11";"1114";"Bjerkreim";"2019";161.09;250.27;"Yellow";"Yellow"
"ENCACC_001";"11";"1114";"Bjerkreim";"2020";244.74;495.01;"Yellow";"Yellow"
"ENCACC_001";"11";"1114";"Bjerkreim";"2021";198.04;693.05;"Yellow";"Yellow"
"ENCACC_001";"11";"1114";"Bjerkreim";"2022";80.63;773.68;"Yellow";"Yellow"
"ENCACC_001";"11";"1114";"Bjerkreim";"2023";140.62;914.3;"Green";"Yellow"
"ENCACC_001";"11";"1114";"Bjerkreim";"2024";119.91;1034.21;"Yellow";"Yellow"
"ENCACC_001";"11";"1114";"Bjerkreim";"Endring 2018-2024";NA;945.03;"NA";"Yellow"
"ENCACC_001";"11";"1119";"Hå";"2018";267.46;267.46;"Yellow";"Yellow"
"ENCACC_001";"11";"1119";"Hå";"2019";136.52;403.98;"Yellow";"Yellow"
"ENCACC_001";"11";"1119";"Hå";"2020";396.85;800.83;"Yellow";"Yellow"
"ENCACC_001";"11";"1119";"Hå";"2021";335.46;1136.29;"Yellow";"Yellow"
"ENCACC_001";"11";"1119";"Hå";"2022";308.49;1444.78;"Yellow";"Yellow"
"ENCACC_001";"11";"1119";"Hå";"2023";261.25;1706.03;"Green";"Yellow"
"ENCACC_001";"11";"1119";"Hå";"2024";124.09;1830.12;"Yellow";"Yellow"
"ENCACC_001";"11";"1119";"Hå";"Endring 2018-2024";NA;1562.66;"NA";"Yellow"
"ENCACC_001";"11";"1120";"Klepp";"2018";105.98;105.98;"Yellow";"Yellow"
"ENCACC_001";"11";"1120";"Klepp";"2019";123.72;229.7;"Yellow";"Yellow"
"ENCACC_001";"11";"1120";"Klepp";"2020";122.33;352.03;"Yellow";"Yellow"
"ENCACC_001";"11";"1120";"Klepp";"2021";106.01;458.04;"Yellow";"Yellow"
"ENCACC_001";"11";"1120";"Klepp";"2022";126.33;584.37;"Yellow";"Yellow"
"ENCACC_001";"11";"1120";"Klepp";"2023";72.96;657.33;"Green";"Yellow"
"ENCACC_001";"11";"1120";"Klepp";"2024";48.78;706.11;"Yellow";"Yellow"
"ENCACC_001";"11";"1120";"Klepp";"Endring 2018-2024";NA;600.13;"NA";"Yellow"
"ENCACC_001";"11";"1121";"Time";"2018";109.8;109.8;"Yellow";"Yellow"
"ENCACC_001";"11";"1121";"Time";"2019";65.19;174.99;"Yellow";"Yellow"
"ENCACC_001";"11";"1121";"Time";"2020";334.6;509.59;"Yellow";"Yellow"
"ENCACC_001";"11";"1121";"Time";"2021";141.74;651.33;"Yellow";"Yellow"
"ENCACC_001";"11";"1121";"Time";"2022";197.68;849.01;"Yellow";"Yellow"
"ENCACC_001";"11";"1121";"Time";"2023";120.24;969.25;"Green";"Yellow"
"ENCACC_001";"11";"1121";"Time";"2024";66.25;1035.5;"Yellow";"Yellow"
"ENCACC_001";"11";"1121";"Time";"Endring 2018-2024";NA;925.7;"NA";"Yellow"
"ENCACC_001";"11";"1122";"Gjesdal";"2018";88.56;88.56;"Yellow";"Yellow"
"ENCACC_001";"11";"1122";"Gjesdal";"2019";232.61;321.17;"Yellow";"Yellow"
"ENCACC_001";"11";"1122";"Gjesdal";"2020";164.01;485.18;"Yellow";"Yellow"
"ENCACC_001";"11";"1122";"Gjesdal";"2021";135.36;620.54;"Yellow";"Yellow"
"ENCACC_001";"11";"1122";"Gjesdal";"2022";176.64;797.18;"Yellow";"Yellow"
"ENCACC_001";"11";"1122";"Gjesdal";"2023";141.16;938.34;"Green";"Yellow"
"ENCACC_001";"11";"1122";"Gjesdal";"2024";215.55;1153.89;"Yellow";"Yellow"
"ENCACC_001";"11";"1122";"Gjesdal";"Endring 2018-2024";NA;1065.33;"NA";"Yellow"
"ENCACC_001";"11";"1124";"Sola";"2018";144.81;144.81;"Yellow";"Yellow"
"ENCACC_001";"11";"1124";"Sola";"2019";117.73;262.54;"Yellow";"Yellow"
"ENCACC_001";"11";"1124";"Sola";"2020";83.67;346.21;"Yellow";"Yellow"
"ENCACC_001";"11";"1124";"Sola";"2021";118.1;464.31;"Yellow";"Yellow"
"ENCACC_001";"11";"1124";"Sola";"2022";105.83;570.14;"Yellow";"Yellow"
"ENCACC_001";"11";"1124";"Sola";"2023";169.72;739.86;"Green";"Yellow"
"ENCACC_001";"11";"1124";"Sola";"2024";32.84;772.7;"Yellow";"Yellow"
