"Indikatorens navn";"Fylke nummer";"Fylke navn";"Verdsatte naturtype";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCACC_002";"03";"Oslo";"Flomskogsmark";"2018-2024";1.41;"Yellow"
"ENCACC_002";"03";"Oslo";"Frisk kalkedellauvskog";"2018-2024";0.01;"Yellow"
"ENCACC_002";"03";"Oslo";"Frisk lågurtedellauvskog";"2018-2024";0.49;"Yellow"
"ENCACC_002";"03";"Oslo";"Gammel høgstaudegråorskog";"2018-2024";0.28;"Yellow"
"ENCACC_002";"03";"Oslo";"Hule eiker";"2018-2024";0.62;"Yellow"
"ENCACC_002";"03";"Oslo";"Kalkhasselskog";"2018-2024";2.32;"Yellow"
"ENCACC_002";"03";"Oslo";"Lågurtedellauvskog";"2018-2024";0.07;"Yellow"
"ENCACC_002";"03";"Oslo";"Slåttemark";"2018-2024";0.26;"Yellow"
"ENCACC_002";"11";"Rogaland";"Beiteskog";"2018-2024";0.06;"Yellow"
"ENCACC_002";"11";"Rogaland";"Boreal hei";"2018-2024";11.64;"Yellow"
"ENCACC_002";"11";"Rogaland";"Eng-aktig sterkt endret fastmark";"2018-2024";1.25;"Yellow"
"ENCACC_002";"11";"Rogaland";"Frisk lågurtedellauvskog";"2018-2024";0.19;"Yellow"
"ENCACC_002";"11";"Rogaland";"Gammel fattig edellauvskog";"2018-2024";0.43;"Yellow"
"ENCACC_002";"11";"Rogaland";"Hagemark";"2018-2024";1.01;"Yellow"
"ENCACC_002";"11";"Rogaland";"Hule eiker";"2018-2024";13.2;"Yellow"
"ENCACC_002";"11";"Rogaland";"Høstingsskog";"2018-2024";1.47;"Yellow"
"ENCACC_002";"11";"Rogaland";"Intakt lavlandsmyr i innlandet";"2018-2024";3.7;"Yellow"
"ENCACC_002";"11";"Rogaland";"Kalkrik alm-lind-hasselskog";"2018-2024";0.56;"Yellow"
"ENCACC_002";"11";"Rogaland";"Kalkrik helofyttsump";"2018-2024";0.15;"Yellow"
"ENCACC_002";"11";"Rogaland";"Kanthøymyr";"2018-2024";0.17;"Yellow"
"ENCACC_002";"11";"Rogaland";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";1.02;"Yellow"
"ENCACC_002";"11";"Rogaland";"Kystlynghei";"2018-2024";964.1;"Orange"
"ENCACC_002";"11";"Rogaland";"Lågurtalm-lind-hasselskog";"2018-2024";0.15;"Yellow"
"ENCACC_002";"11";"Rogaland";"Naturbeitemark";"2018-2024";81.32;"Yellow"
"ENCACC_002";"11";"Rogaland";"Parklandskap";"2018-2024";1.44;"Yellow"
"ENCACC_002";"11";"Rogaland";"Rik edellauvskog";"2018-2024";2.51;"Yellow"
"ENCACC_002";"11";"Rogaland";"Rik kulturlandskapssjø";"2018-2024";1.03;"Yellow"
