"Indikatorens navn";"Fylke nummer";"Fylke navn";"Verdsatte naturtype";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCACC_002";"03";"Oslo";"Flomskogsmark";"2018-2024";0.44;"Yellow"
"ENCACC_002";"03";"Oslo";"Frisk kalkedellauvskog";"2018-2024";0.01;"Yellow"
"ENCACC_002";"03";"Oslo";"Frisk lågurtedellauvskog";"2018-2024";0.49;"Yellow"
"ENCACC_002";"03";"Oslo";"Gammel granskog";"2018-2024";0.26;"Yellow"
"ENCACC_002";"03";"Oslo";"Gammel høgstaudegråorskog";"2018-2024";0.28;"Yellow"
"ENCACC_002";"03";"Oslo";"Hule eiker";"2018-2024";0.62;"Yellow"
"ENCACC_002";"03";"Oslo";"Kalkedellauvskog";"2018-2024";0.51;"Yellow"
"ENCACC_002";"03";"Oslo";"Rik edellauvskog";"2018-2024";0.06;"Yellow"
"ENCACC_002";"03";"Oslo";"Slåttemark";"2018-2024";0.17;"Yellow"
"ENCACC_002";"03";"Oslo";"Store gamle trær";"2018-2024";0.21;"Yellow"
"ENCACC_002";"11";"Rogaland";"Boreal hei";"2018-2024";11.01;"Yellow"
"ENCACC_002";"11";"Rogaland";"Eng-aktig sterkt endret fastmark";"2018-2024";1.26;"Yellow"
"ENCACC_002";"11";"Rogaland";"Frisk lågurtedellauvskog";"2018-2024";0.19;"Yellow"
"ENCACC_002";"11";"Rogaland";"Gammel fattig edellauvskog";"2018-2024";0.12;"Yellow"
"ENCACC_002";"11";"Rogaland";"Hagemark";"2018-2024";0.89;"Yellow"
"ENCACC_002";"11";"Rogaland";"Hule eiker";"2018-2024";17.72;"Yellow"
"ENCACC_002";"11";"Rogaland";"Høstingsskog";"2018-2024";1.47;"Yellow"
"ENCACC_002";"11";"Rogaland";"Intakt lavlandsmyr i innlandet";"2018-2024";3.7;"Yellow"
"ENCACC_002";"11";"Rogaland";"Kalkrik alm-lind-hasselskog";"2018-2024";0.56;"Yellow"
"ENCACC_002";"11";"Rogaland";"Kanthøymyr";"2018-2024";0.17;"Yellow"
"ENCACC_002";"11";"Rogaland";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";1.02;"Yellow"
"ENCACC_002";"11";"Rogaland";"Kystlynghei";"2018-2024";1075.42;"Yellow"
"ENCACC_002";"11";"Rogaland";"Lågurtalm-lind-hasselskog";"2018-2024";0.16;"Yellow"
"ENCACC_002";"11";"Rogaland";"Naturbeitemark";"2018-2024";63.55;"Yellow"
"ENCACC_002";"11";"Rogaland";"Parklandskap";"2018-2024";1.05;"Yellow"
"ENCACC_002";"11";"Rogaland";"Rik edellauvskog";"2018-2024";2.51;"Yellow"
"ENCACC_002";"11";"Rogaland";"Rik kulturlandskapssjø";"2018-2024";1.03;"Yellow"
"ENCACC_002";"11";"Rogaland";"Semi-naturlig eng";"2018-2024";2.05;"Yellow"
"ENCACC_002";"11";"Rogaland";"Semi-naturlig strandeng";"2018-2024";2.04;"Yellow"
"ENCACC_002";"11";"Rogaland";"Slåttemark";"2018-2024";0;"Yellow"
"ENCACC_002";"11";"Rogaland";"Øyblandingsmyr";"2018-2024";0.29;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Boreal hei";"2018-2024";4.41;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Eng-aktig sterkt endret fastmark";"2018-2024";2.02;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Flomskogsmark";"2018-2024";2.22;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Frisk lågurtedellauvskog";"2018-2024";0.14;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Gammel barskog";"2018-2024";1.25;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Hagemark";"2018-2024";10.28;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Hule eiker";"2018-2024";0.48;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Høstingsskog";"2018-2024";7.41;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Kalkskog";"2018-2024";4.52;"Yellow"
"ENCACC_002";"15";"Møre og Romsdal";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";0.39;"Yellow"
