"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Verdsatte naturtype";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCACC_002";"03";"0301";"Oslo";"Flomskogsmark";"2018-2024";1.41;"Yellow"
"ENCACC_002";"03";"0301";"Oslo";"Frisk kalkedellauvskog";"2018-2024";0.01;"Yellow"
"ENCACC_002";"03";"0301";"Oslo";"Frisk lågurtedellauvskog";"2018-2024";0.49;"Yellow"
"ENCACC_002";"03";"0301";"Oslo";"Gammel høgstaudegråorskog";"2018-2024";0.28;"Yellow"
"ENCACC_002";"03";"0301";"Oslo";"Hule eiker";"2018-2024";0.62;"Yellow"
"ENCACC_002";"03";"0301";"Oslo";"Kalkhasselskog";"2018-2024";2.32;"Yellow"
"ENCACC_002";"03";"0301";"Oslo";"Lågurtedellauvskog";"2018-2024";0.07;"Yellow"
"ENCACC_002";"03";"0301";"Oslo";"Slåttemark";"2018-2024";0.26;"Yellow"
"ENCACC_002";"11";"1101";"Eigersund";"Beiteskog";"2018-2024";0.06;"Yellow"
"ENCACC_002";"11";"1101";"Eigersund";"Hagemark";"2018-2024";0.02;"Yellow"
"ENCACC_002";"11";"1101";"Eigersund";"Hule eiker";"2018-2024";1.37;"Yellow"
"ENCACC_002";"11";"1101";"Eigersund";"Kystlynghei";"2018-2024";93.04;"Yellow"
"ENCACC_002";"11";"1101";"Eigersund";"Naturbeitemark";"2018-2024";2.13;"Yellow"
"ENCACC_002";"11";"1103";"Stavanger";"Frisk lågurtedellauvskog";"2018-2024";0.01;"Yellow"
"ENCACC_002";"11";"1103";"Stavanger";"Hagemark";"2018-2024";0.14;"Yellow"
"ENCACC_002";"11";"1103";"Stavanger";"Hule eiker";"2018-2024";5.56;"Yellow"
"ENCACC_002";"11";"1103";"Stavanger";"Kystlynghei";"2018-2024";0.17;"Yellow"
"ENCACC_002";"11";"1103";"Stavanger";"Naturbeitemark";"2018-2024";6.59;"Yellow"
