"Indikatorens navn";"Fylke nummer";"Fylke navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCREC_001";"03";"Oslo";"2018";106.29;106.29;"Yellow";"Yellow"
"ENCREC_001";"03";"Oslo";"2019";85.41;191.7;"Yellow";"Yellow"
"ENCREC_001";"03";"Oslo";"2020";108.83;300.53;"Yellow";"Yellow"
"ENCREC_001";"03";"Oslo";"2021";162.37;462.9;"Yellow";"Yellow"
"ENCREC_001";"03";"Oslo";"2022";129.87;592.77;"Yellow";"Yellow"
"ENCREC_001";"03";"Oslo";"2023";135.62;728.39;"Yellow";"Yellow"
"ENCREC_001";"03";"Oslo";"2024";61.47;789.86;"Yellow";"Yellow"
"ENCREC_001";"03";"Oslo";"Endring 2018-2024";NA;683.57;"NA";"Yellow"
"ENCREC_001";"11";"Rogaland";"2018";464.81;464.81;"Yellow";"Yellow"
"ENCREC_001";"11";"Rogaland";"2019";592.47;1057.28;"Yellow";"Yellow"
"ENCREC_001";"11";"Rogaland";"2020";1603.53;2660.81;"Yellow";"Yellow"
"ENCREC_001";"11";"Rogaland";"2021";879.53;3540.34;"Yellow";"Yellow"
"ENCREC_001";"11";"Rogaland";"2022";612.29;4152.63;"Yellow";"Yellow"
"ENCREC_001";"11";"Rogaland";"2023";614.32;4766.95;"Green";"Yellow"
"ENCREC_001";"11";"Rogaland";"2024";509.39;5276.34;"Yellow";"Yellow"
"ENCREC_001";"11";"Rogaland";"Endring 2018-2024";NA;4811.53;"NA";"Yellow"
"ENCREC_001";"15";"Møre og Romsdal";"2018";118.48;118.48;"Yellow";"Yellow"
"ENCREC_001";"15";"Møre og Romsdal";"2019";235.72;354.2;"Yellow";"Yellow"
"ENCREC_001";"15";"Møre og Romsdal";"2020";345.6;699.8;"Yellow";"Yellow"
"ENCREC_001";"15";"Møre og Romsdal";"2021";458.38;1158.18;"Yellow";"Yellow"
"ENCREC_001";"15";"Møre og Romsdal";"2022";592.53;1750.71;"Yellow";"Yellow"
"ENCREC_001";"15";"Møre og Romsdal";"2023";472.24;2222.95;"Green";"Yellow"
"ENCREC_001";"15";"Møre og Romsdal";"2024";336.56;2559.51;"Yellow";"Yellow"
"ENCREC_001";"15";"Møre og Romsdal";"Endring 2018-2024";NA;2441.03;"NA";"Yellow"
"ENCREC_001";"18";"Nordland - Nordlánnda";"2018";126.37;126.37;"Yellow";"Yellow"
"ENCREC_001";"18";"Nordland - Nordlánnda";"2019";431.32;557.69;"Yellow";"Yellow"
"ENCREC_001";"18";"Nordland - Nordlánnda";"2020";851.06;1408.75;"Yellow";"Yellow"
"ENCREC_001";"18";"Nordland - Nordlánnda";"2021";950.33;2359.08;"Orange";"Orange"
