"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCREC_001";"03";"0301";"Oslo";"2018";106.29;106.29;"Yellow";"Yellow"
"ENCREC_001";"03";"0301";"Oslo";"2019";85.41;191.7;"Yellow";"Yellow"
"ENCREC_001";"03";"0301";"Oslo";"2020";108.83;300.53;"Yellow";"Yellow"
"ENCREC_001";"03";"0301";"Oslo";"2021";162.37;462.9;"Yellow";"Yellow"
"ENCREC_001";"03";"0301";"Oslo";"2022";129.87;592.77;"Yellow";"Yellow"
"ENCREC_001";"03";"0301";"Oslo";"2023";135.62;728.39;"Yellow";"Yellow"
"ENCREC_001";"03";"0301";"Oslo";"2024";61.47;789.86;"Yellow";"Yellow"
"ENCREC_001";"03";"0301";"Oslo";"Endring 2018-2024";NA;683.57;"NA";"Yellow"
"ENCREC_001";"11";"1101";"Eigersund";"2018";1.94;1.94;"Orange";"Orange"
"ENCREC_001";"11";"1101";"Eigersund";"2019";1.49;3.43;"Yellow";"Orange"
"ENCREC_001";"11";"1101";"Eigersund";"2020";16.78;20.21;"Yellow";"Yellow"
"ENCREC_001";"11";"1101";"Eigersund";"2021";23.9;44.11;"Yellow";"Yellow"
"ENCREC_001";"11";"1101";"Eigersund";"2022";10.9;55.01;"Yellow";"Yellow"
"ENCREC_001";"11";"1101";"Eigersund";"2023";6.55;61.56;"Green";"Yellow"
"ENCREC_001";"11";"1101";"Eigersund";"2024";3.01;64.57;"Yellow";"Yellow"
"ENCREC_001";"11";"1101";"Eigersund";"Endring 2018-2024";NA;62.63;"NA";"Orange"
"ENCREC_001";"11";"1103";"Stavanger";"2018";11.17;11.17;"Yellow";"Yellow"
"ENCREC_001";"11";"1103";"Stavanger";"2019";34.95;46.12;"Yellow";"Yellow"
"ENCREC_001";"11";"1103";"Stavanger";"2020";61.81;107.93;"Yellow";"Yellow"
"ENCREC_001";"11";"1103";"Stavanger";"2021";72.93;180.86;"Yellow";"Yellow"
"ENCREC_001";"11";"1103";"Stavanger";"2022";30.51;211.37;"Yellow";"Yellow"
"ENCREC_001";"11";"1103";"Stavanger";"2023";63.54;274.91;"Green";"Yellow"
"ENCREC_001";"11";"1103";"Stavanger";"2024";16.19;291.1;"Yellow";"Yellow"
"ENCREC_001";"11";"1103";"Stavanger";"Endring 2018-2024";NA;279.93;"NA";"Yellow"
"ENCREC_001";"11";"1106";"Haugesund";"2018";0.36;0.36;"Yellow";"Yellow"
"ENCREC_001";"11";"1106";"Haugesund";"2019";1.92;2.28;"Yellow";"Yellow"
"ENCREC_001";"11";"1106";"Haugesund";"2020";0.42;2.7;"Yellow";"Yellow"
"ENCREC_001";"11";"1106";"Haugesund";"2021";4.69;7.39;"Yellow";"Yellow"
"ENCREC_001";"11";"1106";"Haugesund";"2022";6.23;13.62;"Yellow";"Yellow"
"ENCREC_001";"11";"1106";"Haugesund";"2023";9.44;23.06;"Yellow";"Yellow"
"ENCREC_001";"11";"1106";"Haugesund";"2024";1.77;24.83;"Orange";"Yellow"
"ENCREC_001";"11";"1106";"Haugesund";"Endring 2018-2024";NA;24.47;"NA";"Yellow"
"ENCREC_001";"11";"1108";"Sandnes";"2018";55.59;55.59;"Yellow";"Yellow"
"ENCREC_001";"11";"1108";"Sandnes";"2019";122.69;178.28;"Yellow";"Yellow"
"ENCREC_001";"11";"1108";"Sandnes";"2020";429.7;607.98;"Yellow";"Yellow"
"ENCREC_001";"11";"1108";"Sandnes";"2021";185.92;793.9;"Yellow";"Yellow"
"ENCREC_001";"11";"1108";"Sandnes";"2022";181.53;975.43;"Yellow";"Yellow"
"ENCREC_001";"11";"1108";"Sandnes";"2023";201.29;1176.72;"Green";"Yellow"
"ENCREC_001";"11";"1108";"Sandnes";"2024";208.03;1384.75;"Yellow";"Yellow"
"ENCREC_001";"11";"1108";"Sandnes";"Endring 2018-2024";NA;1329.16;"NA";"Yellow"
"ENCREC_001";"11";"1111";"Sokndal";"2018";178.01;178.01;"Orange";"Orange"
"ENCREC_001";"11";"1111";"Sokndal";"2019";173;351.01;"Yellow";"Orange"
"ENCREC_001";"11";"1111";"Sokndal";"2020";590.22;941.23;"Yellow";"Yellow"
"ENCREC_001";"11";"1111";"Sokndal";"2021";155.85;1097.08;"Yellow";"Yellow"
"ENCREC_001";"11";"1111";"Sokndal";"2022";6.22;1103.3;"Yellow";"Yellow"
"ENCREC_001";"11";"1111";"Sokndal";"2023";8.45;1111.75;"Green";"Yellow"
"ENCREC_001";"11";"1111";"Sokndal";"2024";6.81;1118.56;"Yellow";"Yellow"
"ENCREC_001";"11";"1111";"Sokndal";"Endring 2018-2024";NA;940.55;"NA";"Orange"
"ENCREC_001";"11";"1112";"Lund";"2018";0.63;0.63;"Orange";"Orange"
"ENCREC_001";"11";"1112";"Lund";"2019";16.78;17.41;"Yellow";"Yellow"
"ENCREC_001";"11";"1112";"Lund";"2020";17.53;34.94;"Yellow";"Yellow"
"ENCREC_001";"11";"1112";"Lund";"2021";9.06;44;"Yellow";"Yellow"
"ENCREC_001";"11";"1112";"Lund";"2022";3.76;47.76;"Yellow";"Yellow"
"ENCREC_001";"11";"1112";"Lund";"2023";8.75;56.51;"Green";"Yellow"
"ENCREC_001";"11";"1112";"Lund";"2024";4.32;60.83;"Yellow";"Yellow"
"ENCREC_001";"11";"1112";"Lund";"Endring 2018-2024";NA;60.2;"NA";"Orange"
"ENCREC_001";"11";"1114";"Bjerkreim";"2018";8.39;8.39;"Orange";"Orange"
"ENCREC_001";"11";"1114";"Bjerkreim";"2019";25.8;34.19;"Yellow";"Orange"
"ENCREC_001";"11";"1114";"Bjerkreim";"2020";19.06;53.25;"Yellow";"Yellow"
"ENCREC_001";"11";"1114";"Bjerkreim";"2021";58.19;111.44;"Yellow";"Yellow"
"ENCREC_001";"11";"1114";"Bjerkreim";"2022";13.1;124.54;"Yellow";"Yellow"
"ENCREC_001";"11";"1114";"Bjerkreim";"2023";27.73;152.27;"Green";"Yellow"
"ENCREC_001";"11";"1114";"Bjerkreim";"2024";54.15;206.42;"Yellow";"Yellow"
"ENCREC_001";"11";"1114";"Bjerkreim";"Endring 2018-2024";NA;198.03;"NA";"Orange"
"ENCREC_001";"11";"1119";"Hå";"2018";123.97;123.97;"Yellow";"Yellow"
"ENCREC_001";"11";"1119";"Hå";"2019";32.17;156.14;"Yellow";"Yellow"
"ENCREC_001";"11";"1119";"Hå";"2020";258.85;414.99;"Yellow";"Yellow"
"ENCREC_001";"11";"1119";"Hå";"2021";96.24;511.23;"Yellow";"Yellow"
"ENCREC_001";"11";"1119";"Hå";"2022";80.77;592;"Yellow";"Yellow"
"ENCREC_001";"11";"1119";"Hå";"2023";41.42;633.42;"Green";"Yellow"
"ENCREC_001";"11";"1119";"Hå";"2024";40.04;673.46;"Yellow";"Yellow"
"ENCREC_001";"11";"1119";"Hå";"Endring 2018-2024";NA;549.49;"NA";"Yellow"
"ENCREC_001";"11";"1120";"Klepp";"2018";1.36;1.36;"Yellow";"Yellow"
"ENCREC_001";"11";"1120";"Klepp";"2019";0.1;1.46;"Yellow";"Yellow"
"ENCREC_001";"11";"1120";"Klepp";"2020";0.62;2.08;"Yellow";"Yellow"
"ENCREC_001";"11";"1120";"Klepp";"2021";1.52;3.6;"Yellow";"Yellow"
"ENCREC_001";"11";"1120";"Klepp";"2022";10.27;13.87;"Yellow";"Yellow"
"ENCREC_001";"11";"1120";"Klepp";"2023";5.91;19.78;"Yellow";"Yellow"
"ENCREC_001";"11";"1120";"Klepp";"2024";0.5;20.28;"Yellow";"Yellow"
"ENCREC_001";"11";"1120";"Klepp";"Endring 2018-2024";NA;18.92;"NA";"Yellow"
"ENCREC_001";"11";"1121";"Time";"2018";1.51;1.51;"Yellow";"Yellow"
"ENCREC_001";"11";"1121";"Time";"2019";0;1.51;"Yellow";"Yellow"
"ENCREC_001";"11";"1121";"Time";"2020";2.93;4.44;"Yellow";"Yellow"
"ENCREC_001";"11";"1121";"Time";"2021";21.17;25.61;"Yellow";"Yellow"
"ENCREC_001";"11";"1121";"Time";"2022";16.27;41.88;"Yellow";"Yellow"
"ENCREC_001";"11";"1121";"Time";"2023";5.58;47.46;"Green";"Yellow"
"ENCREC_001";"11";"1121";"Time";"2024";4.11;51.57;"Yellow";"Yellow"
"ENCREC_001";"11";"1121";"Time";"Endring 2018-2024";NA;50.06;"NA";"Yellow"
"ENCREC_001";"11";"1122";"Gjesdal";"2018";1.96;1.96;"Yellow";"Yellow"
"ENCREC_001";"11";"1122";"Gjesdal";"2019";53.31;55.27;"Yellow";"Yellow"
"ENCREC_001";"11";"1122";"Gjesdal";"2020";22.18;77.45;"Yellow";"Yellow"
"ENCREC_001";"11";"1122";"Gjesdal";"2021";32.29;109.74;"Yellow";"Yellow"
"ENCREC_001";"11";"1122";"Gjesdal";"2022";35.79;145.53;"Yellow";"Yellow"
"ENCREC_001";"11";"1122";"Gjesdal";"2023";25.31;170.84;"Green";"Yellow"
"ENCREC_001";"11";"1122";"Gjesdal";"2024";112.55;283.39;"Yellow";"Yellow"
"ENCREC_001";"11";"1122";"Gjesdal";"Endring 2018-2024";NA;281.43;"NA";"Yellow"
"ENCREC_001";"11";"1124";"Sola";"2018";1.71;1.71;"Yellow";"Yellow"
"ENCREC_001";"11";"1124";"Sola";"2019";1.11;2.82;"Yellow";"Yellow"
"ENCREC_001";"11";"1124";"Sola";"2020";1.19;4.01;"Yellow";"Yellow"
"ENCREC_001";"11";"1124";"Sola";"2021";3.78;7.79;"Yellow";"Yellow"
"ENCREC_001";"11";"1124";"Sola";"2022";0.8;8.59;"Yellow";"Yellow"
"ENCREC_001";"11";"1124";"Sola";"2023";5.51;14.1;"Yellow";"Yellow"
"ENCREC_001";"11";"1124";"Sola";"2024";0.29;14.39;"Yellow";"Yellow"
"ENCREC_001";"11";"1124";"Sola";"Endring 2018-2024";NA;12.68;"NA";"Yellow"
"ENCREC_001";"11";"1127";"Randaberg";"2018";0.78;0.78;"Yellow";"Yellow"
"ENCREC_001";"11";"1127";"Randaberg";"2019";11.32;12.1;"Yellow";"Yellow"
"ENCREC_001";"11";"1127";"Randaberg";"2020";1.21;13.31;"Yellow";"Yellow"
"ENCREC_001";"11";"1127";"Randaberg";"2021";0;13.31;"Yellow";"Yellow"
"ENCREC_001";"11";"1127";"Randaberg";"2022";0.22;13.53;"Yellow";"Yellow"
"ENCREC_001";"11";"1127";"Randaberg";"2023";0.83;14.36;"Yellow";"Yellow"
"ENCREC_001";"11";"1127";"Randaberg";"2024";0.29;14.65;"Yellow";"Yellow"
"ENCREC_001";"11";"1127";"Randaberg";"Endring 2018-2024";NA;13.87;"NA";"Yellow"
"ENCREC_001";"11";"1130";"Strand";"2018";1.95;1.95;"Yellow";"Yellow"
"ENCREC_001";"11";"1130";"Strand";"2019";4.12;6.07;"Yellow";"Yellow"
"ENCREC_001";"11";"1130";"Strand";"2020";24.29;30.36;"Yellow";"Yellow"
"ENCREC_001";"11";"1130";"Strand";"2021";47.59;77.95;"Yellow";"Yellow"
"ENCREC_001";"11";"1130";"Strand";"2022";43.82;121.77;"Yellow";"Yellow"
"ENCREC_001";"11";"1130";"Strand";"2023";33.81;155.58;"Green";"Yellow"
"ENCREC_001";"11";"1130";"Strand";"2024";4.4;159.98;"Yellow";"Yellow"
"ENCREC_001";"11";"1130";"Strand";"Endring 2018-2024";NA;158.03;"NA";"Yellow"
"ENCREC_001";"11";"1133";"Hjelmeland";"2018";1.03;1.03;"Yellow";"Yellow"
"ENCREC_001";"11";"1133";"Hjelmeland";"2019";1.21;2.24;"Yellow";"Yellow"
"ENCREC_001";"11";"1133";"Hjelmeland";"2020";5.15;7.39;"Yellow";"Yellow"
"ENCREC_001";"11";"1133";"Hjelmeland";"2021";1.89;9.28;"Yellow";"Yellow"
"ENCREC_001";"11";"1133";"Hjelmeland";"2022";0.27;9.55;"Yellow";"Yellow"
"ENCREC_001";"11";"1133";"Hjelmeland";"2023";3.18;12.73;"Yellow";"Yellow"
"ENCREC_001";"11";"1133";"Hjelmeland";"2024";0.92;13.65;"Orange";"Yellow"
"ENCREC_001";"11";"1133";"Hjelmeland";"Endring 2018-2024";NA;12.62;"NA";"Yellow"
"ENCREC_001";"11";"1134";"Suldal";"2018";10.22;10.22;"Yellow";"Yellow"
"ENCREC_001";"11";"1134";"Suldal";"2019";22.21;32.43;"Yellow";"Yellow"
"ENCREC_001";"11";"1134";"Suldal";"2020";27.19;59.62;"Yellow";"Yellow"
"ENCREC_001";"11";"1134";"Suldal";"2021";75.33;134.95;"Yellow";"Yellow"
"ENCREC_001";"11";"1134";"Suldal";"2022";51.79;186.74;"Yellow";"Yellow"
"ENCREC_001";"11";"1134";"Suldal";"2023";18.14;204.88;"Yellow";"Yellow"
"ENCREC_001";"11";"1134";"Suldal";"2024";11.46;216.34;"Yellow";"Yellow"
"ENCREC_001";"11";"1134";"Suldal";"Endring 2018-2024";NA;206.12;"NA";"Yellow"
"ENCREC_001";"11";"1135";"Sauda";"2018";48;48;"Yellow";"Yellow"
"ENCREC_001";"11";"1135";"Sauda";"2019";44.91;92.91;"Yellow";"Yellow"
"ENCREC_001";"11";"1135";"Sauda";"2020";41.44;134.35;"Yellow";"Yellow"
"ENCREC_001";"11";"1135";"Sauda";"2021";16.82;151.17;"Yellow";"Yellow"
"ENCREC_001";"11";"1135";"Sauda";"2022";10;161.17;"Yellow";"Yellow"
"ENCREC_001";"11";"1135";"Sauda";"2023";45.84;207.01;"Yellow";"Yellow"
"ENCREC_001";"11";"1135";"Sauda";"2024";17.03;224.04;"Yellow";"Yellow"
"ENCREC_001";"11";"1135";"Sauda";"Endring 2018-2024";NA;176.04;"NA";"Yellow"
"ENCREC_001";"11";"1144";"Kvitsøy";"2018";0;0;"Yellow";"Yellow"
"ENCREC_001";"11";"1144";"Kvitsøy";"2019";0.91;0.91;"Yellow";"Yellow"
"ENCREC_001";"11";"1144";"Kvitsøy";"2020";0;0.91;"Yellow";"Yellow"
"ENCREC_001";"11";"1144";"Kvitsøy";"2021";0;0.91;"Yellow";"Yellow"
"ENCREC_001";"11";"1144";"Kvitsøy";"2022";21.35;22.26;"Yellow";"Yellow"
"ENCREC_001";"11";"1144";"Kvitsøy";"2023";2.94;25.2;"Yellow";"Yellow"
"ENCREC_001";"11";"1144";"Kvitsøy";"2024";0;25.2;"Yellow";"Yellow"
"ENCREC_001";"11";"1144";"Kvitsøy";"Endring 2018-2024";NA;25.2;"NA";"Yellow"
"ENCREC_001";"11";"1145";"Bokn";"2018";1.54;1.54;"Yellow";"Yellow"
"ENCREC_001";"11";"1145";"Bokn";"2019";0.51;2.05;"Yellow";"Yellow"
"ENCREC_001";"11";"1145";"Bokn";"2020";9.8;11.85;"Yellow";"Yellow"
"ENCREC_001";"11";"1145";"Bokn";"2021";2.67;14.52;"Yellow";"Yellow"
"ENCREC_001";"11";"1145";"Bokn";"2022";10.81;25.33;"Yellow";"Yellow"
"ENCREC_001";"11";"1145";"Bokn";"2023";18.52;43.85;"Yellow";"Yellow"
"ENCREC_001";"11";"1145";"Bokn";"2024";3.52;47.37;"Yellow";"Yellow"
"ENCREC_001";"11";"1145";"Bokn";"Endring 2018-2024";NA;45.83;"NA";"Yellow"
"ENCREC_001";"11";"1146";"Tysvær";"2018";1.15;1.15;"Yellow";"Yellow"
"ENCREC_001";"11";"1146";"Tysvær";"2019";2.26;3.41;"Yellow";"Yellow"
"ENCREC_001";"11";"1146";"Tysvær";"2020";8.14;11.55;"Yellow";"Yellow"
"ENCREC_001";"11";"1146";"Tysvær";"2021";2.04;13.59;"Yellow";"Yellow"
"ENCREC_001";"11";"1146";"Tysvær";"2022";19.09;32.68;"Yellow";"Yellow"
"ENCREC_001";"11";"1146";"Tysvær";"2023";8.16;40.84;"Yellow";"Yellow"
"ENCREC_001";"11";"1146";"Tysvær";"2024";1.92;42.76;"Yellow";"Yellow"
"ENCREC_001";"11";"1146";"Tysvær";"Endring 2018-2024";NA;41.61;"NA";"Yellow"
"ENCREC_001";"11";"1149";"Karmøy";"2018";12.48;12.48;"Yellow";"Yellow"
"ENCREC_001";"11";"1149";"Karmøy";"2019";38.22;50.7;"Yellow";"Yellow"
"ENCREC_001";"11";"1149";"Karmøy";"2020";59.66;110.36;"Yellow";"Yellow"
"ENCREC_001";"11";"1149";"Karmøy";"2021";58.29;168.65;"Yellow";"Yellow"
"ENCREC_001";"11";"1149";"Karmøy";"2022";45.32;213.97;"Yellow";"Yellow"
"ENCREC_001";"11";"1149";"Karmøy";"2023";50.35;264.32;"Yellow";"Yellow"
"ENCREC_001";"11";"1149";"Karmøy";"2024";15.09;279.41;"Yellow";"Yellow"
"ENCREC_001";"11";"1149";"Karmøy";"Endring 2018-2024";NA;266.93;"NA";"Yellow"
"ENCREC_001";"11";"1151";"Utsira";"2018";0.07;0.07;"Yellow";"Yellow"
"ENCREC_001";"11";"1151";"Utsira";"2019";0;0.07;"Yellow";"Yellow"
"ENCREC_001";"11";"1151";"Utsira";"2020";0.14;0.21;"Yellow";"Yellow"
