"Indikatorens navn";"Fylke nummer";"Fylke navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCREC_003";"03";"Oslo";"2018";344100.76;344100.76;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"2019";344121.64;344015.35;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"2020";344098.22;343906.52;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"2021";344044.68;343744.15;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"2022";344077.18;343614.28;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"2023";344071.43;343478.66;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"2024";344145.58;343417.19;"Yellow";"Yellow"
"ENCREC_003";"03";"Oslo";"Endring 2018-2024";NA;-683.570000000007;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"2018";2980293.64;2980293.64;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"2019";2980194.06;2979918.22;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"2020";2979609.55;2978958.29;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"2021";2979936.95;2978325.76;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"2022";2979991.16;2977747.44;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"2023";2980006.63;2977184.59;"Green";"Yellow"
"ENCREC_003";"11";"Rogaland";"2024";2980128.37;2976743.48;"Yellow";"Yellow"
"ENCREC_003";"11";"Rogaland";"Endring 2018-2024";NA;-3550.16000000015;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2018";4102921;4102921;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2019";4102814.13;4102701.87;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2020";4102720.59;4102389.2;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2021";4102634.14;4101990.08;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2022";4102518.87;4101475.69;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2023";4102663.65;4101106.08;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"2024";4102736.76;4100809.58;"Yellow";"Yellow"
"ENCREC_003";"15";"Møre og Romsdal";"Endring 2018-2024";NA;-2111.42000000039;"Yellow";"Yellow"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2018";19310874.4;19310874.4;"Yellow";"Yellow"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2019";19310569.44;19310446.78;"Yellow";"Yellow"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2020";19310154.2;19309603.92;"Yellow";"Yellow"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2021";19310056.6;19308663.46;"Orange";"Orange"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2022";19310472.37;19308138.77;"Orange";"Orange"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2023";19310406.34;19307548.05;"Orange";"Orange"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2024";19310745.23;19307296.22;"Orange";"Orange"
"ENCREC_003";"18";"Nordland - Nordlánnda";"Endring 2018-2024";NA;-3578.1799999997;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2018";1704953.65;1704953.65;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2019";1704864.66;1704594.33;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2020";1704511.46;1703881.81;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2021";1704665.27;1703323.1;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2022";1704600.99;1702700.11;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2023";1704862.75;1702338.88;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2024";1705118.19;1702233.09;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"Endring 2018-2024";NA;-2720.55999999982;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2018";3139151.05;3139151.05;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2019";3138848.34;3138098.79;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2020";3138394.7;3136592.89;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2021";3137691.88;3134384.17;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2022";3138743.85;3133227.42;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2023";3138815.97;3132142.79;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2024";3139481.67;3131723.86;"Orange";"Yellow"
"ENCREC_003";"32";"Akershus";"Endring 2018-2024";NA;-7427.19000000041;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2018";11414414.04;11414414.04;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2019";11413784.58;11412410.99;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2020";11412491.94;11409115.3;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2021";11410530.67;11403858.34;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2022";11411885.53;11399956.24;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2023";11413484.53;11397653.14;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2024";11413735.83;11395601.34;"Orange";"Yellow"
"ENCREC_003";"33";"Buskerud";"Endring 2018-2024";NA;-18812.6999999993;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2018";23741490.64;23741490.64;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2019";23740696.69;23739483.23;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2020";23740203.38;23736982.51;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2021";23738781.71;23733060.12;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2022";23739841.34;23730197.36;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2023";23740074.55;23727567.81;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2024";23741099.31;23725963.02;"Orange";"Yellow"
"ENCREC_003";"34";"Innlandet";"Endring 2018-2024";NA;-15527.6199999973;"Yellow";"Yellow"
