"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCREC_003";"03";"0301";"Oslo";"2018";344100.76;344100.76;"Yellow";"Yellow"
"ENCREC_003";"03";"0301";"Oslo";"2019";344121.64;344015.35;"Yellow";"Yellow"
"ENCREC_003";"03";"0301";"Oslo";"2020";344098.22;343906.52;"Yellow";"Yellow"
"ENCREC_003";"03";"0301";"Oslo";"2021";344044.68;343744.15;"Yellow";"Yellow"
"ENCREC_003";"03";"0301";"Oslo";"2022";344077.18;343614.28;"Yellow";"Yellow"
"ENCREC_003";"03";"0301";"Oslo";"2023";344071.43;343478.66;"Yellow";"Yellow"
"ENCREC_003";"03";"0301";"Oslo";"2024";344145.58;343417.19;"Yellow";"Yellow"
"ENCREC_003";"03";"0301";"Oslo";"Endring 2018-2024";NA;-683.570000000007;"NA";"Yellow"
"ENCREC_003";"11";"1103";"Stavanger";"2018";73737.81;73737.81;"Yellow";"Yellow"
"ENCREC_003";"11";"1103";"Stavanger";"2019";73714.03;73702.86;"Yellow";"Yellow"
"ENCREC_003";"11";"1103";"Stavanger";"2020";73687.17;73641.05;"Yellow";"Yellow"
"ENCREC_003";"11";"1103";"Stavanger";"2021";73676.05;73568.12;"Yellow";"Yellow"
"ENCREC_003";"11";"1103";"Stavanger";"2022";73718.47;73537.61;"Yellow";"Yellow"
"ENCREC_003";"11";"1103";"Stavanger";"2023";73685.44;73474.07;"Green";"Yellow"
"ENCREC_003";"11";"1103";"Stavanger";"2024";73732.79;73457.88;"Yellow";"Yellow"
"ENCREC_003";"11";"1103";"Stavanger";"Endring 2018-2024";NA;-279.930000000008;"NA";"Yellow"
"ENCREC_003";"11";"1106";"Haugesund";"2018";20417.33;20417.33;"Yellow";"Yellow"
"ENCREC_003";"11";"1106";"Haugesund";"2019";20415.77;20415.41;"Yellow";"Yellow"
"ENCREC_003";"11";"1106";"Haugesund";"2020";20417.27;20414.99;"Yellow";"Yellow"
"ENCREC_003";"11";"1106";"Haugesund";"2021";20413;20410.3;"Yellow";"Yellow"
"ENCREC_003";"11";"1106";"Haugesund";"2022";20411.46;20404.07;"Yellow";"Yellow"
"ENCREC_003";"11";"1106";"Haugesund";"2023";20408.25;20394.63;"Yellow";"Yellow"
"ENCREC_003";"11";"1106";"Haugesund";"2024";20415.92;20392.86;"Orange";"Yellow"
"ENCREC_003";"11";"1106";"Haugesund";"Endring 2018-2024";NA;-24.4700000000012;"NA";"Yellow"
