"Indikatorens navn";"Fylke nummer";"Fylke navn";"Natur typer";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCREC_005";"03";"Oslo";"Flomskogsmark";"2018-2024";1.42;"Yellow"
"ENCREC_005";"03";"Oslo";"Frisk kalkedellauvskog";"2018-2024";0.01;"Yellow"
"ENCREC_005";"03";"Oslo";"Frisk lågurtedellauvskog";"2018-2024";0.49;"Yellow"
"ENCREC_005";"03";"Oslo";"Gammel høgstaudegråorskog";"2018-2024";0.28;"Yellow"
"ENCREC_005";"03";"Oslo";"Hule eiker";"2018-2024";0.61;"Yellow"
"ENCREC_005";"03";"Oslo";"Kalkhasselskog";"2018-2024";0.45;"Yellow"
"ENCREC_005";"03";"Oslo";"Lågurtedellauvskog";"2018-2024";0.06;"Yellow"
"ENCREC_005";"03";"Oslo";"Slåttemark";"2018-2024";0.26;"Yellow"
"ENCREC_005";"11";"Rogaland";"Boreal hei";"2018-2024";11.64;"Yellow"
"ENCREC_005";"11";"Rogaland";"Eng-aktig sterkt endret fastmark";"2018-2024";0.28;"Yellow"
"ENCREC_005";"11";"Rogaland";"Gammel fattig edellauvskog";"2018-2024";0.43;"Yellow"
"ENCREC_005";"11";"Rogaland";"Hule eiker";"2018-2024";3.79;"Yellow"
"ENCREC_005";"11";"Rogaland";"Høstingsskog";"2018-2024";0.22;"Yellow"
"ENCREC_005";"11";"Rogaland";"Kalkrik helofyttsump";"2018-2024";0.15;"Yellow"
"ENCREC_005";"11";"Rogaland";"Kanthøymyr";"2018-2024";0.17;"Yellow"
"ENCREC_005";"11";"Rogaland";"Kystlynghei";"2018-2024";551.33;"Orange"
"ENCREC_005";"11";"Rogaland";"Naturbeitemark";"2018-2024";19.95;"Yellow"
"ENCREC_005";"11";"Rogaland";"Parklandskap";"2018-2024";0.46;"Yellow"
"ENCREC_005";"11";"Rogaland";"Rik svartorsumpskog";"2018-2024";0.22;"Yellow"
"ENCREC_005";"11";"Rogaland";"Rikt strandberg";"2018-2024";2.02;"Yellow"
"ENCREC_005";"11";"Rogaland";"Semi-naturlig strandeng";"2018-2024";2.05;"Yellow"
"ENCREC_005";"11";"Rogaland";"Småbiotoper";"2018-2024";0.17;"Yellow"
"ENCREC_005";"11";"Rogaland";"Store gamle trær";"2018-2024";0.06;"Yellow"
"ENCREC_005";"11";"Rogaland";"Øyblandingsmyr";"2018-2024";0.28;"Yellow"
"ENCREC_005";"15";"Møre og Romsdal";"Boreal hei";"2018-2024";0.19;"Yellow"
"ENCREC_005";"15";"Møre og Romsdal";"Fossepåvirket berg";"2018-2024";0.14;"Yellow"
"ENCREC_005";"15";"Møre og Romsdal";"Frisk lågurtedellauvskog";"2018-2024";0;"Yellow"
"ENCREC_005";"15";"Møre og Romsdal";"Kalkskog";"2018-2024";0.29;"Yellow"
"ENCREC_005";"15";"Møre og Romsdal";"Kystlynghei";"2018-2024";37.06;"Yellow"
"ENCREC_005";"15";"Møre og Romsdal";"Kystmyr";"2018-2024";0.17;"Yellow"
"ENCREC_005";"15";"Møre og Romsdal";"Lågurtalm-lind-hasselskog";"2018-2024";0;"Yellow"
"ENCREC_005";"15";"Møre og Romsdal";"Naturbeitemark";"2018-2024";1.16;"Yellow"
"ENCREC_005";"15";"Møre og Romsdal";"Sanddynemark";"2018-2024";0.02;"Yellow"
"ENCREC_005";"15";"Møre og Romsdal";"Slåttemark";"2018-2024";0.03;"Yellow"
"ENCREC_005";"15";"Møre og Romsdal";"Strandeng";"2018-2024";0.24;"Yellow"
"ENCREC_005";"15";"Møre og Romsdal";"Sørlig nedbørsmyr";"2018-2024";6.67;"Yellow"
"ENCREC_005";"15";"Møre og Romsdal";"Terrengdekkende myr";"2018-2024";3.29;"Yellow"
"ENCREC_005";"15";"Møre og Romsdal";"Viktig bekkedrag";"2018-2024";0.15;"Yellow"
"ENCREC_005";"18";"Nordland - Nordlánnda";"Boreal hei";"2018-2024";14.68;"Yellow"
"ENCREC_005";"18";"Nordland - Nordlánnda";"Erstatningsbiotoper på berg og åpen jord";"2018-2024";0.1;"Yellow"
"ENCREC_005";"18";"Nordland - Nordlánnda";"Gammel lågurtselje-rogneskog";"2018-2024";0.49;"Yellow"
"ENCREC_005";"18";"Nordland - Nordlánnda";"Kalksjø";"2018-2024";7.31;"Yellow"
"ENCREC_005";"18";"Nordland - Nordlánnda";"Kystlynghei";"2018-2024";5.33;"Yellow"
"ENCREC_005";"18";"Nordland - Nordlánnda";"Lågurtfuruskog";"2018-2024";0.04;"Yellow"
"ENCREC_005";"18";"Nordland - Nordlánnda";"Nakent tørkeutsatt kalkberg";"2018-2024";0.02;"Yellow"
"ENCREC_005";"18";"Nordland - Nordlánnda";"Naturbeitemark";"2018-2024";3.61;"Yellow"
"ENCREC_005";"18";"Nordland - Nordlánnda";"Regnskog";"2018-2024";7.44;"Orange"
"ENCREC_005";"18";"Nordland - Nordlánnda";"Rik åpen jordvannsmyr i mellomboreal sone";"2018-2024";1.6;"Yellow"
"ENCREC_005";"18";"Nordland - Nordlánnda";"Rikmyr";"2018-2024";15;"Yellow"
"ENCREC_005";"18";"Nordland - Nordlánnda";"Sanddyne";"2018-2024";13.33;"Yellow"
"ENCREC_005";"18";"Nordland - Nordlánnda";"Sanddynemark";"2018-2024";4.72;"Yellow"
"ENCREC_005";"18";"Nordland - Nordlánnda";"Semi-naturlig eng";"2018-2024";0.54;"Yellow"
"ENCREC_005";"18";"Nordland - Nordlánnda";"Slåttemark";"2018-2024";0.05;"Yellow"
"ENCREC_005";"18";"Nordland - Nordlánnda";"Strandeng";"2018-2024";0.01;"Yellow"
"ENCREC_005";"18";"Nordland - Nordlánnda";"Strandeng og strandsump";"2018-2024";0.07;"Yellow"
"ENCREC_005";"18";"Nordland - Nordlánnda";"Terrengdekkende myr";"2018-2024";0.55;"Yellow"
"ENCREC_005";"18";"Nordland - Nordlánnda";"Åpen flomfastmark";"2018-2024";0.04;"Yellow"
"ENCREC_005";"18";"Nordland - Nordlánnda";"Åpen kalkmark";"2018-2024";2.21;"Yellow"
"ENCREC_005";"31";"Østfold";"Frisk lågurtedellauvskog";"2018-2024";0;"Yellow"
"ENCREC_005";"31";"Østfold";"Gammel furudominert naturskog";"2018-2024";6.19;"Yellow"
"ENCREC_005";"31";"Østfold";"Gammel furuskog med gamle trær";"2018-2024";6.86;"Yellow"
"ENCREC_005";"31";"Østfold";"Hule eiker";"2018-2024";6.14;"Yellow"
"ENCREC_005";"31";"Østfold";"Hurtigstrømmende elveløp";"2018-2024";0.03;"Yellow"
"ENCREC_005";"31";"Østfold";"Intakt lavlandsmyr i innlandet";"2018-2024";0.34;"Yellow"
"ENCREC_005";"31";"Østfold";"Kystlynghei";"2018-2024";5.01;"Yellow"
"ENCREC_005";"31";"Østfold";"Lågurtedellauvskog";"2018-2024";0.02;"Yellow"
"ENCREC_005";"31";"Østfold";"Lågurteikeskog";"2018-2024";2.36;"Yellow"
"ENCREC_005";"31";"Østfold";"Lågurtfuruskog";"2018-2024";1.18;"Yellow"
"ENCREC_005";"31";"Østfold";"Naturbeitemark";"2018-2024";3.27;"Yellow"
"ENCREC_005";"31";"Østfold";"Rik edellauvskog";"2018-2024";2.46;"Yellow"
"ENCREC_005";"31";"Østfold";"Rik kulturlandskapssjø";"2018-2024";0.13;"Orange"
"ENCREC_005";"31";"Østfold";"Rik svartorsumpskog";"2018-2024";0.27;"Yellow"
"ENCREC_005";"31";"Østfold";"Sanddynemark";"2018-2024";0.03;"Yellow"
"ENCREC_005";"31";"Østfold";"Semi-naturlig eng";"2018-2024";0.01;"Yellow"
"ENCREC_005";"31";"Østfold";"Semi-naturlig strandeng";"2018-2024";0.1;"Yellow"
"ENCREC_005";"31";"Østfold";"Store gamle trær";"2018-2024";1.1;"Yellow"
"ENCREC_005";"31";"Østfold";"Åpen grunnlendt kalkmark i boreonemoral sone";"2018-2024";0.03;"Yellow"
"ENCREC_005";"32";"Akershus";"Eng-aktig sterkt endret fastmark";"2018-2024";0.04;"Yellow"
"ENCREC_005";"32";"Akershus";"Flomskogsmark";"2018-2024";1.58;"Yellow"
"ENCREC_005";"32";"Akershus";"Frisk kalkedellauvskog";"2018-2024";3.66;"Yellow"
"ENCREC_005";"32";"Akershus";"Frisk kalkgranskog";"2018-2024";0.49;"Yellow"
"ENCREC_005";"32";"Akershus";"Frisk lågurtedellauvskog";"2018-2024";0.44;"Yellow"
"ENCREC_005";"32";"Akershus";"Frisk rik edellauvskog";"2018-2024";0.86;"Yellow"
"ENCREC_005";"32";"Akershus";"Gammel furuskog med gamle trær";"2018-2024";3.97;"Yellow"
"ENCREC_005";"32";"Akershus";"Gammel granskog";"2018-2024";0.29;"Yellow"
"ENCREC_005";"32";"Akershus";"Gammel granskog med gamle trær";"2018-2024";0.06;"Yellow"
"ENCREC_005";"32";"Akershus";"Gammel granskog med liggende død ved";"2018-2024";0.28;"Yellow"
"ENCREC_005";"32";"Akershus";"Gammel høgstaudegråorskog";"2018-2024";0.17;"Yellow"
"ENCREC_005";"32";"Akershus";"Gammel lågurtgranskog";"2018-2024";1.91;"Yellow"
"ENCREC_005";"32";"Akershus";"Gammel lågurtospeskog";"2018-2024";0.76;"Yellow"
"ENCREC_005";"32";"Akershus";"Gråor-heggeskog";"2018-2024";0.36;"Yellow"
"ENCREC_005";"32";"Akershus";"Hagemark";"2018-2024";8.11;"Yellow"
"ENCREC_005";"32";"Akershus";"Hule eiker";"2018-2024";10.63;"Yellow"
"ENCREC_005";"32";"Akershus";"Høgstaude-edellauvskog";"2018-2024";0.11;"Yellow"
"ENCREC_005";"32";"Akershus";"Kalk- og lågurtfuruskog";"2018-2024";1.74;"Yellow"
"ENCREC_005";"32";"Akershus";"Kalkbarskog";"2018-2024";0.13;"Yellow"
"ENCREC_005";"32";"Akershus";"Kalkbarskog, grandominert";"2018-2024";0;"Yellow"
"ENCREC_005";"32";"Akershus";"Kalkedellauvskog";"2018-2024";0.04;"Yellow"
"ENCREC_005";"32";"Akershus";"Kalkfuruskog";"2018-2024";0.6;"Yellow"
"ENCREC_005";"32";"Akershus";"Kalkhasselskog";"2018-2024";0.09;"Yellow"
"ENCREC_005";"32";"Akershus";"Kalklindeskog";"2018-2024";0.18;"Yellow"
"ENCREC_005";"32";"Akershus";"Kalkrik alm-lind-hasselskog";"2018-2024";0.72;"Yellow"
"ENCREC_005";"32";"Akershus";"Kalksjø";"2018-2024";0.07;"Yellow"
"ENCREC_005";"32";"Akershus";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";0;"Yellow"
"ENCREC_005";"32";"Akershus";"Lågurtalm-lind-hasselskog";"2018-2024";1.58;"Yellow"
"ENCREC_005";"32";"Akershus";"Lågurtedellauvskog";"2018-2024";3.38;"Yellow"
"ENCREC_005";"32";"Akershus";"Lågurteikeskog";"2018-2024";0.37;"Yellow"
"ENCREC_005";"32";"Akershus";"Lågurtfuruskog";"2018-2024";4.2;"Yellow"
"ENCREC_005";"32";"Akershus";"Naturbeitemark";"2018-2024";3.17;"Yellow"
"ENCREC_005";"32";"Akershus";"Ravinedal";"2018-2024";17.28;"Yellow"
"ENCREC_005";"32";"Akershus";"Rik edellauvskog";"2018-2024";15.47;"Yellow"
"ENCREC_005";"32";"Akershus";"Rik gransumpskog";"2018-2024";0.35;"Yellow"
"ENCREC_005";"32";"Akershus";"Rik sump- og kildeskog";"2018-2024";1.82;"Yellow"
"ENCREC_005";"32";"Akershus";"Rik svartorsumpskog";"2018-2024";0.57;"Yellow"
"ENCREC_005";"32";"Akershus";"Rik åpen sørlig jordvannsmyr";"2018-2024";0.49;"Yellow"
"ENCREC_005";"32";"Akershus";"Saltpåvirket svartorstrandskog";"2018-2024";0.02;"Yellow"
"ENCREC_005";"32";"Akershus";"Semi-naturlig eng";"2018-2024";2.2;"Yellow"
"ENCREC_005";"32";"Akershus";"Slåttemark";"2018-2024";2.13;"Yellow"
