"Indikatorens navn";"Fylke nummer";"Fylke navn";"Natur typer";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCREC_005";"03";"Oslo";"Flomskogsmark";"2018-2024";0.44;"Yellow"
"ENCREC_005";"03";"Oslo";"Frisk kalkedellauvskog";"2018-2024";0.01;"Yellow"
"ENCREC_005";"03";"Oslo";"Frisk lågurtedellauvskog";"2018-2024";0.49;"Yellow"
"ENCREC_005";"03";"Oslo";"Gammel granskog";"2018-2024";0.13;"Yellow"
"ENCREC_005";"03";"Oslo";"Gammel høgstaudegråorskog";"2018-2024";0.28;"Yellow"
"ENCREC_005";"03";"Oslo";"Hule eiker";"2018-2024";0.61;"Yellow"
"ENCREC_005";"03";"Oslo";"Kalkedellauvskog";"2018-2024";0.03;"Yellow"
"ENCREC_005";"03";"Oslo";"Rik edellauvskog";"2018-2024";0.06;"Yellow"
"ENCREC_005";"03";"Oslo";"Slåttemark";"2018-2024";0.17;"Yellow"
"ENCREC_005";"03";"Oslo";"Store gamle trær";"2018-2024";0.21;"Yellow"
"ENCREC_005";"11";"Rogaland";"Boreal hei";"2018-2024";11.01;"Yellow"
"ENCREC_005";"11";"Rogaland";"Eng-aktig sterkt endret fastmark";"2018-2024";0.28;"Yellow"
"ENCREC_005";"11";"Rogaland";"Gammel fattig edellauvskog";"2018-2024";0;"Yellow"
"ENCREC_005";"11";"Rogaland";"Hule eiker";"2018-2024";4.41;"Yellow"
"ENCREC_005";"11";"Rogaland";"Høstingsskog";"2018-2024";0.22;"Yellow"
"ENCREC_005";"11";"Rogaland";"Kanthøymyr";"2018-2024";0.17;"Yellow"
"ENCREC_005";"11";"Rogaland";"Kystlynghei";"2018-2024";74.35;"Yellow"
"ENCREC_005";"11";"Rogaland";"Naturbeitemark";"2018-2024";18.13;"Yellow"
"ENCREC_005";"11";"Rogaland";"Parklandskap";"2018-2024";0.07;"Yellow"
"ENCREC_005";"11";"Rogaland";"Semi-naturlig strandeng";"2018-2024";2.04;"Yellow"
"ENCREC_005";"11";"Rogaland";"Øyblandingsmyr";"2018-2024";0.29;"Yellow"
"ENCREC_005";"15";"Møre og Romsdal";"Kalkskog";"2018-2024";0.18;"Yellow"
"ENCREC_005";"15";"Møre og Romsdal";"Kystlynghei";"2018-2024";37.12;"Yellow"
"ENCREC_005";"15";"Møre og Romsdal";"Kystmyr";"2018-2024";0.17;"Yellow"
"ENCREC_005";"15";"Møre og Romsdal";"Naturbeitemark";"2018-2024";0.84;"Yellow"
"ENCREC_005";"15";"Møre og Romsdal";"Slåtte- og beitemyr";"2018-2024";6.49;"Yellow"
"ENCREC_005";"15";"Møre og Romsdal";"Slåttemark";"2018-2024";0.03;"Yellow"
